grmd,md_name,tex_text
1189,"MODIFIED MARINE AGAR 2216 WITH 5\% NaCl (pH 9)","\mono{Marine agar 2216 (BD-Difco)}                           {55.1}{g}
\mono{Casitone (BD-Difco)}                                    {1.0}{g}
\mono{Soytone (BD-Difco) or Phytone peptone (BD-BBL)}         {1.0}{g}
\mono{Malt extract (BD-Difco)}                                {1.0}{g}
\mono{NaCl}                                                  {50.0}{g}
\mono{Trace vitamins (See Medium No. [197])}                 {10.0}{ml}
\mono{Distilled water}                                      {990.0}{ml}
\chu{Adjust pH to 9.0 with sterilized 10% Na$_2$CO$_3$ solution.}
     
"
1190,"VALLITALEA 70B-A MEDIUM","\mono{HEPES}                                                  {4.7}{g}
\mono{NH$_4$Cl}                                               {0.5}{g}
\mono{KH$_2$PO$_4$}                                           {0.3}{g}
\mono{NaCl}                                                  {25.0}{g}
\mono{KCl}                                                    {0.3}{g}
\mono{Yeast extract}                                          {0.2}{g}
\mono{Trace element solution (see Medium No. [439])}          {1.0}{ml}
\mono{Resazurin}                                              {1.0}{mg}
\mono{Distilled water}                                      {950.0}{ml}
\chu{Mix components thoroughly, adjust pH to 7.9 with NaOH and autoclave under a N$_2$ atmosphere.  After cooling, add the following solutions:}
\mono{1 M Glucose solution}                                  {20.0}{ml}
\mono{5% MgCl$_2$$\cdot$6H$_2$O solution}                    {20.0}{ml}
\mono{1% CaCl$_2$$\cdot$2H$_2$O solution}                    {10.0}{ml}
\chu{Aseptically and anaerobically distribute the medium into culture vessels under a N$_2$ gas stream and seal with butyl rubber stoppers.  Prior inoculation, add per liter the following solution from an anaerobic stock (autoclaved and stored under a N$_2$ atmosphere):}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                     {10.0}{ml}
     
"
1191,"ALKALINE TRYPTICASE SOY BROTH AGAR","\mono{Trypticase soy broth (BD-BBL)}  {30.0}  {g}
\mono{Agar}                           {15.0}  {g}
\mono{Distilled water}               {900.0}  {ml}
\chu{After autoclaving, aseptically add 100 ml of a sterile 10% Na$_2$CO$_3$ solution to the medium. Check final pH to be about 10.0.}
     
"
1192,"GEOTHERMOBACTER MEDIUM","\mono{NaCl}                                                  {15.0}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {4.0}{g}
\mono{KCl}                                                    {0.33}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.33}{g}
\mono{(NH$_4$)$_2$SO$_4$}                                     {0.5}{g}
\mono{FeCl$_2$ solution (see Medium No. [187])}               {1.0}{ml}
\mono{Trace element solution (see Medium No. [187])}          {1.0}{ml}
\mono{Selenite-tungstate solution (see Medium No. [431])}     {1.0}{ml}
\mono{Distilled water}                                      {840.0}{ml}
\chu{Mix components thoroughly, distribute the medium in a culture bottle under a H$_2$-CO$_2$ (4:1, v/v) gas stream, seal with a butyl rubber stopper and autoclave.   After cooling, aseptically and anaerobically add the following solutions (autoclaved or *filter-sterilized):}
\mono{Iron(III) citrate solution (see Medium No. [1014])}   {100.0}{ml}
\mono{Trace vitamins* (see Medium No. [197])}                {10.0}{ml}
\mono{8% NaHCO$_3$ solution*}                                {30.0}{ml}
\mono{0.1 M KH$_2$PO$_4$ solution}                           {20.0}{ml}
     
"
1193,"DESULFOBOTULUS PAR22N MEDIUM","\mono{NaCl}                                                  {15.0}{g}
\mono{KH$_2$PO$_4$}                                           {0.2}{g}
\mono{Na$_2$SO$_4$}                                           {4.0}{g}
\mono{Na$_2$CO$_3$}                                           {3.5}{g}
\mono{NH$_4$Cl}                                               {0.25}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {0.1}{g}
\mono{KCl}                                                    {0.2}{g}
\mono{Yeast extract}                                          {0.2}{g}
\mono{FeCl$_2$ solution (see Medium No. [187])}               {1.0}{ml}
\mono{Trace element solution (see Medium No. [187])}          {1.0}{ml}
\mono{Fe-Ni-WO-Se solution (see Medium No. [1121])}           {1.0}{ml}
\mono{Distilled water}                                        {1.0}{L}
\chu{Mix components thoroughly and adjust pH to 9.0.  Bring to a boil and cool under a N$_2$ gas stream.  Distribute the medium into culture vessels (e.g., 10 ml of the medium in the Hungate tubes) under a N$_2$ atmosphere, seal with butyl rubber stoppers and autoclave.  After cooling, aseptically and anaerobically add per liter the following solutions (autoclaved or *filter-sterilized and stored under a N$_2$ atmosphere):}

\mono{Vitamin solution* (see Medium No. [1157])}              {1.0}{ml}
\mono{1 M Sodium octanoate solution}                           {5.0}{ml}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                      {8.0}{ml}
     
"
1194,"METHANOTHERMOCOCCUS HHB MEDIUM","\mono{NH$_4$Cl}{0.5}{g}
\mono{K$_2$HPO$_4$}{0.14}{g}
\mono{KCl}{0.33}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}{4.18}{g}
\mono{MgSO$_4$$\cdot$7H$_2$O}{3.4}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}{0.14}{g}
\mono{NaCl}{20.0}{g}
\mono{Fe(NH$_4$)$_2$(SO$_4$)$_2$$\cdot$6H$_2$O}{2.0}{mg}
\mono{Trace vitamins (see Medium No. [197])}{10.0}{ml}
\mono{Trace mineral solution (see Medium No. [852])}{10.0}{ml}
\mono{Se/W solution (Medium No. [852])}{1.0}{ml}
\mono{Resazurin}{1.0}{mg}
\mono{Distilled water}{1.0}{L}

\chu{Mix components thoroughly.  Bring to a boil and cool down under a H$_2$-CO$_2$ (4:1, v/v) gas stream.  Distribute the medium into culture vessels (e.g., 20 ml medium in 120 ml serum bottles) under the same gas mixture, seal with butyl rubber stoppers and autoclave.  After cooling, aseptically and anaerobically add per liter the following solutions (autoclaved or *filter-sterilized):}

\mono{8% NaHCO$_3$ solution*}{12.0}{ml}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution}{10.0}{ml}

\chu{Pressurize the inoculated bottles to 200 kPa H$_2$-CO$_2$ (80:20, v/v).}
     
"
1199,"MINERAL MEDIUM (BRUNNER) SUPPLEMENTED WITH TOLUENE","\mono{(NH$_4$)$_2$SO$_4$}                                     {0.50}{g}
\mono{MgSO$_4$$\cdot$7H$_2$O}                                 {0.20}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.05}{g}
\mono{SL-4 trace element solution (see Medium No. [340])}    {10.0}{ml}
\mono{Agar}                                                  {15.0}{g}
\mono{Distilled water}                                      {900.0}{ml}
\chu{Adjust pH to 6.9. After autoclaving, aseptically add the phosphates solution to the medium. After inoculation, put several drops of toluene inside of lid of petri dishes.}

\mono{Phosphates solution}                                  {100.0}{ml}
\chu{Phosphates solution:}
\mono{Na$_2$HPO$_4$$\cdot$2H$_2$O}                            {2.44}{g}
\mono{KH$_2$PO$_4$}                                           {1.52}{g}
\mono{Distilled water}                                        {1.0}{L}
\chu{Adjust pH to 6.9.}
     
"
1200,"ELBE METHANOTROPH MEDIUM","\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {0.93}{g}
\mono{KCl}                                                    {1.0}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.12}{g}
\mono{NaNO$_3$}                                               {0.17}{g}
\mono{Distilled water}                                      {992.0}{ml}
\chu{Mix components and autoclave.  For preparation of solid medium, add 15.0 g/L agar before autoclaving.  After cooling to 55C, add the following solutions (autoclaved or *filter-sterilized) to the medium:}   

\mono{2 M HEPES buffer (pH 7.0)}                              {5.0}{ml}
\mono{1 M Phosphate buffer (see Medium No. [556])}            {0.15}{ml}
\mono{FeCl$_2$ solution (see Medium No. [187])}               {1.0}{ml}
\mono{Trace element solution (see Medium No. [187])}          {1.0}{ml}
\mono{Vitamin solution* (see Medium No. [556])}               {1.0}{ml}
\chu{Distribute the culture medium into culture tubes (leave > 80% volume of a gas phase)and seal with butyl rubber stoppers.  Finally, add methane to make a concentration of 50% in the gas phase (by volume).}
     
"
1198,"SALTWATER MEDIUM FOR OCEANIC AOA","\mono{NaCl}                                                   {26.0}{g}
\mono{MgSO$_4$$\cdot$7H$_2$O}                                  {5.0}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                  {5.0}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                  {1.5}{g}
\mono{KBr}                                                     {0.1}{g}
\mono{Distilled water}                                       {980.0}{ml}
\chu{Mix components thoroughly and autoclave.  After cooling, aseptically add the following solutions (autoclaved or *filter-sterilized) in the given order:}

\mono{HEPES solution (see Medium No. [1004])}                 {10.0}{ml}
\mono{3 mM KH$_2$PO$_4$ solution}                              {5.0}{ml}
\mono{1 M NaHCO$_3$ solution*}                                 {2.0}{ml}
\mono{Modified trace element mixture (see Medium No. [1004])}   {1.0}{ml}
\mono{7.5 mM FeNaEDTA solution* (pH 7.0)}                      {1.0}{ml}
\mono{1 M NH$_4$Cl solution}                                   {1.0}{ml}
\chu{Adjust pH to 7.2, if necessary.  Prior to use, add final 5-10 units/ml catalase (freshly prepared, filter-sterilized) to the medium.}
     
\chu{Use glass or polystyrene containers for cultivation.  Cultivate in the dark without shaking.}
     
"
1196,"ACIDIHALOBACTER MEDIUM","\chu{\sfi Solution A:}
\mono{NaCl}{15.0}{g}
\mono{(NH$_4$)$_2$SO$_4$}{0.2}{g}
\mono{MgSO$_4$$\cdot$7H$_2$O}{0.4}{g}
\mono{K$_2$HPO$_4$}{0.1}{g}
\mono{Distilled water}{900.0}{ml}

\chu{Adjust pH 1.7 with H$_2$SO$_4$ and autoclave.}

\chu{\sfi Solution B:}
\mono{FeSO$_4$$\cdot$7H$_2$O}{13.9}{g}
\mono{Distilled water}{100.0}{ml}

\chu{Adjust pH to 1.25 and autoclave at 115C for 10 min or filter-sterilize.}

\chu{\sfi Solution C:}
\mono{K$_2$S$_4$O$_6$}{0.3}{g}
\mono{Distilled water}{10.0}{ml}

\chu{Sterilize by filtration.}

\chu{\sfi Solution D:}
\mono{Yeast extract}{0.1}{g}
\mono{Distilled water}{10.0} {ml}

\chu{Sterilize by autoclaving.}

\chu{Aseptically combine solutions A and B after cooling.  Then, add solutions C and D to the medium.}
     
"
1197,"ACIDIHALOBACTER PROSPERUS F5 MEDIUM","\chu{\sfi Solution A:}
\mono{NaCl}{25.0}{g}
\mono{(NH$_4$)$_2$SO$_4$}{0.4}{g}
\mono{MgSO$_4$$\cdot$7H$_2$O}{0.4}{g}
\mono{K$_2$HPO$_4$}{0.4}{g}
\mono{Distilled water}{900.0}{ml}

\chu{Adjust pH 2.5 with H$_2$SO$_4$ and autoclave.}

\chu{\sfi Solution B:}
\mono{FeSO$_4$$\cdot$7H$_2$O}{13.9}{g}
\mono{K$_2$S$_4$O$_6$}{1.51}{g}
\mono{Distilled water}{100.0}{ml}

\chu{Adjust pH to 2.5 and filter-sterilize.  Prepare the solution just prior to use.}

\chu{Aseptically combine solution A and solution B (freshly prepared).  Then, add the following solutions (autoclaved):}

\mono{Trace elements solution (see Medium No. [1182])}{1.0}{ml}
     
"
1183,"CHLOROFLEXUS MEDIUM","\mono{KH$_2$PO$_4$}   {0.5}        {g}
\mono{NH$_4$Cl}     {0.5}        {g}
\mono{MgCl$_2$$\cdot$6H$_2$O}          {0.3}        {g}
\mono{KCl}                     {0.5}        {g}
\mono{NaCl}                   {0.5}        {g}
\mono{Na$_2$S$_2$O$_3$$\cdot$5H$_2$O}      {0.1}        {g}
\mono{Yeast extract (BD-Difco)}      {1.0}        {g}
\mono{HEPES}    {3.0}        {g}
\mono{Trace vitamins solution (see below)}  {1.0}        {ml}
\mono{Trace elements solution (see Medium No. [310])}            {1.0}        {ml}
\mono{Distilled water}      {1.0}        {L}

\chu{After autoclaving, add 1 ml of 5% Na$_2$S$\cdot$9H$_2$O solution (autoclaved), 1 ml of 5% CaCl$_2$$\cdot$2H$_2$O solution (autoclaved) and 10 ml of 3% NaHCO$_3$ solution (filter-sterilized). Adjust pH to 7.5.}

\chu{\sfi Trace vitamins solution:} 
\mono{Biotin}     {2.0}         {mg}
\mono{Folic acid}              {2.0}        {mg}
\mono{Pyridoxine$\cdot$HCl}       {10.0}      {mg}
\mono{Thiamine$\cdot$HCl}        {5.0}        {mg}
\mono{Riboflavin}             {5.0}        {mg}
\mono{Nicotinic acid}        {5.0}        {mg}
\mono{DL-Calcium pantothenate}     {5.0}        {mg}
\mono{Vitamin B$_12$}          {0.5}         {mg}
\mono{{\sfi p}-Aminobenzoic acid}           {5.0}        {mg}
\mono{Distilled water}      {100.0}     {ml}
     
"
1185,"LB (LURIA-BERTANI) AGAR WITH 5\% NaCl (pH 9.0)","\mono{Tryptone (BD-Difco)}                                   {10.0}{g}
\mono{Yeast extract (BD-Difco)}                               {5.0}{g}
\mono{NaCl}                                                  {50.0}{g}
\mono{Agar}                                                  {15.0}{g}
\mono{Distilled water}                                        {1.0}{L}
\chu{After autoclaving, adjust pH to 9.0 with sterilized 10% Na$_2$CO$_3$ solution.}
     
"
1186,"MARINE METHANOBACTERIUM MEDIUM","\mono{KH$_2$PO$_4$}                                           {0.1}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {4.0}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {1.0}{g}
\mono{NH$_4$Cl}                                               {0.5}{g}
\mono{NaCl}                                                  {25.0}{g}
\mono{Yeast extract}                                          {0.1}{g}
\mono{Sodium formate}                                         {0.68}{g}
\mono{Sodium acetate}                                         {0.08}{g}
\mono{Trace vitamins solution (see Medium No. [284])}         {2.0}{ml}
\mono{Trace mineral solution (see Medium No. [852])}          {1.0}{ml}
\mono{Se/W solution (Medium No. [852])}                       {1.0}{ml}
\mono{Resazurin}                                              {1.0}{mg}
\mono{Distilled water}                                        {1.0}{L}
\chu{Mix components and adjust pH to 7.5.  Bring to a boil and cool down under a H$_2$--CO$_2$ (4:1, v/v) gas stream.  Distribute the medium into culture vessels (e.g., 20 ml medium in 60 ml serum bottles) under the same gas mixture, seal with butyl rubber stoppers and autoclave.  After cooling, aseptically and anaerobically add per liter the following solutions (autoclaved or *filter-sterilized):}

\mono{8% NaHCO$_3$ solution*}                                {25.0}{ml}
\mono{5% L--Cysteine$\cdot$HCl$\cdot$H$_2$O solution}         {6.0}{ml}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                      {6.0}{ml}

\chu{Pressurize the inoculated vessels to 100 kPa H$_2$--CO$_2$ (4:1, v/v)}
     
"
1178,"BTT MEDIUM","\mono{Glucose}{10.0}{g}
\mono{Yeast extract}{1.0}{g}
\mono{Meat Extract}{1.0}{g}
\mono{Casitone}{2.0}{g}
\mono{Agar}{15.0}{g}
\mono{Distilled water}{1.0}{L}
\chu{Adjust pH to 5.5.}
     
"
1179,"M MEDIUM","\mono{KNO$_3$}{1.0}{g}
\mono{KH$_2$PO$_4$}{1.0}{g}
\mono{MgSO$_4$$\cdot$7H$_2$O}{0.22}{g}
\mono{NaCl}{30.0}{g}
\mono{2 M NaHCO$_3$ solution}{50.0}{ml}
\mono{1 M Na$_2$CO$_3$ solution}{10.0}{ml}
\mono{Methanol}{5.0}{ml}
\mono{Distilled water}{935.0}{ml}

\chu{After autoclaving, aseptically add filter-sterilized 2 M NaHCO$_3$ solution, 1 M Na$_2$CO$_3$ solution and methanol. Readjust pH to 9.0, if necessary.
     
"
1180,"CELLULOLYTIC NATRONOARCHAEA MEDIUM","\mono{NaCl}{128.0}{g}
\mono{Na$_2$CO$_3$}{95.0}{g}
\mono{NaHCO$_3$}{15.0}{g}
\mono{KCl}{2.5}{g}
\mono{K$_2$HPO$_4$}{1.75}{g}

\chu{Add components to distilled water and bring volume to 1.0 L. After cooling, add the following solutions (autoclaved or *filter-sterilized):}
\mono{10% NH$_4$Cl solution}{1.25}{ml}
\mono{1 M MgSO$_4$ solution}{1.0}{ml}
\mono{Trace element solution (see Medium No. [1079])}{1.0}{ml}
\mono{Trace vitamins* (see Medium No. [197])}{5.0}{ml}
\mono{10% Yeast extract solution}{0.2}{ml}
\mono{10% Cellobiose solution}{20.0}{ml}
     
"
1181,"MODIFIED CELLULOLYTIC HALOARCHAEA MEDIUM","\mono{MDS salt water (see Medium No. [574])}                {833.0}{ml}
\mono{Trace element solution (see Medium No. [1079])}         {1.0}{ml}
\mono{Yeast extract (BD-Difco)}                               {0.1}{g}
\chu{Add components and bring volume to 958 ml with distilled water.   For preparation of solid medium, add 20 g/L agar (if necessary, use washed agar: see Medium No. [574]).  Autoclave.  After cooling, add the following solutions (autoclaved or *filter-sterilized) to the medium.}

\mono{1 M NH$_4$Cl}                                           {5.0}{ml}
\mono{Potassium phosphate buffer (see Medium No. [574])}      {2.0}{ml}
\mono{Trace vitamins* (see Medium No. [197])}                 {5.0}{ml}
\mono                                                         {0.2 M Cellobiose solution}{30.0}{ml}
\chu{Readjust pH to 7.0 with a sterilized 10% Na$_2$CO$_3$ solution, if necessary.}
     
"
1182,"FERROUS IRON YEAST EXTRACT MEDIUM","\mono{MgSO$_4$$\cdot$7H$_2$O}                                 {0.5}{g}
\mono{(NH$_4$)$_2$SO$_4$}                                     {0.45}{g}
\mono{Na$_2$SO$_4$}                                           {0.15}{g}
\mono{KH$_2$PO$_4$}                                           {0.05}{g}
\mono{KCl}                                                    {0.05}{g}
\mono{Ca(NO$_3$)$_2$$\cdot$4H$_2$O}                           {0.01}{g}
\mono{Trace elements solution (see below)}                    {1.0}{ml}
\mono{Distilled water}                                        {1.0}{L}
\chu{Mix components thoroughly, adjust pH 2.0 with H$_2$SO$_4$ and autoclave.   After cooling, aseptically add the following solutions (autoclave or *filer-sterilized):}

\mono{1 M FeSO$_4$ solution* (pH 2.0)}                       {10.0}{ml}
\mono{1.0% Yeast extract solution}                           {20.0}{ml}
\chu{\sfi Trace element solution:}
\mono{ZnSO$_4$$\cdot$7H$_2$O}                                {10.0}{g}
\mono{CuSO$_4$$\cdot$5H$_2$O}                                 {1.0}{g}
\mono{MnSO$_4$$\cdot${\sfi x}H$_2$O}                          {1.0}{g}
\mono{CoSO$_4$$\cdot$7H$_2$O}                                 {1.0}{g}
\mono{Cr$_2$(SO$_4$)$_3$$\cdot${\sfi x}H$_2$O}                {0.5}{g}
\mono{H$_3$BO$_3$}                                            {0.6}{g}
\mono{Na$_2$MoO$_4$$\cdot$2H$_2$O}                            {0.5}{g}
\mono{NiSO$_4$$\cdot$6H$_2$O}                                 {1.0}{g}
\mono{Na$_2$SeO$_4$}                                          {1.0}{g}
\mono{Na2WO$_4$$\cdot$2H$_2$O}                                {1.0}{g}
\mono{NaVO$_3$}                                               {0.1}{g}
\mono{0.01 M H$_2$SO$_4$}                                      {1.0}{L}
     
"
1177,"SEDIMENTISPHAERA L21 MEDIUM","\mono{NaCl}                                                {120.0}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {6.0}{g}
\mono{KCl}                                                    {1.5}{g}
\mono{Na$_2$SO$_4$}                                           {1.0}{g}
\mono{NH$_4$Cl}                                               {1.0}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.4}{g}
\mono{K$_2$HPO$_4$}                                           {0.4}{g}
\mono{Trace mineral solution (see Medium No. [1084])}        {10.0}{ml}
\mono{Resazurin}                                              {0.5}{mg}
\mono{Distilled water}                                      {950.0}{ml}
\chu{Mix components thoroughly, bring to a boil and cool down under a N$_2$-CO$_2$ (4:1, v/v) gas stream and autoclave under the same gas mixture.  After cooling, add per liter the following solutions (autoclaved or *filter-sterilized):}

\mono{10% Glucose solution}                                  {10.0}{ml}
\mono{Trace vitamins* (see Medium No. [197])}                {10.0}{ml}
\mono{8% NaHCO$_3$ solution*}                                {30.0}{ml}
\chu{Aseptically and anaerobically, dispense the medium into culture vessels (e.g., 10 ml in Hungate tubes) under a N$_2$-CO$_2$ (4:1, v/v) gas stream and seal with butyl rubber stoppers.   Prior to inoculation, add per liter the following solutions (autoclaved and stored under a N$_2$ atmosphere):}

\mono{5% L-Cysteine$\cdot$HCl$\cdot$H$_2$O solution}         {10.0}{ml}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                     {10.0}{ml}
\chu{Readjust pH to 7.5, if necessary.}
     
"
1172,"MODIFIED MEDIUM FOR MARINE SPIROCHAETES","\mono{NH$_4$Cl}                                                {0.5}{g}
\mono{KH$_2$PO$_4$}                                           {0.1}{g}
\mono{NaCl}                                                  {40.0}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {4.0}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {1.0}{g}
\mono{Yeast extract}                                          {1.0}{g}
\mono{Maltose}                                                {1.7}{g}
\mono{Trace mineral solution (see Medium No. [852])}          {1.0}{ml}
\mono{Trace vitamins solution (see Medium No. [284])}         {2.0}{ml}
\mono{Resazurin}                                              {1.0}{mg}
\mono{Distilled water}                                        {1.0}{L}
\chu{Mix components and adjust pH to 7.5.  Bring to a boil and cool down under a N$_2$-CO$_2$ (4:1, v/v) gas stream.  Distribute the medium into culture vessels under the same gas mixture, seal with butyl rubber stoppers and autoclave.  Add per liter the following solutions (autoclaved or *filter-sterilized):}

\mono{8% NaHCO$_3$ solution*}                                {25.0}{ml}
\mono{5% L-Cysteine$\cdot$HCl$\cdot$H$_2$O solution}          {6.0}{ml}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                      {6.0}{ml}
     
"
1174,"YEAST EXTRACT-MALT EXTRACT AGAR (pH 5.5)","\chu{Prepare Yeast extract--malt extract agar (ISP--2) (see Medium No. [43]) and
adjust pH to 5.5.}
     
"
1175,"CAENICOLA MOBILE MEDIUM","\mono{KH$_2$PO$_4$}                                           {0.5}{g}
\mono{K$_2$HPO$_4$}                                           {0.5}{g}
\mono{NH$_4$Cl}                                               {0.5}{g}
\mono{NaCl}                                                   {0.4}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {0.3}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.05}{g}
\mono{KCl}                                                    {0.4}{g}
\mono{Yeast extract}                                          {2.0}{g}
\mono{Tryptone (BD-Difco)}                                    {2.0}{g}
\mono{Casamino acids (BD-Difco)}                                         {2.0}{g}
\mono{L-Cysteine}                                             {2.4}{g}
\mono{L-Arginine}                                             {4.2}{g}
\mono{L-Histidine}                                            {4.2}{g}
\mono{Trace metal solution (see Medium No. [294])}            {1.0}{ml}
\mono{Resazurin}                                              {1.0}{mg}
\mono{Distilled water}                                      {975.0}{ml}
\chu{Mix components thoroughly, adjust pH to 7.5 with KOH and autoclave under a N$_2$-CO$_2$ (4:1, v/v) gas mixture.  After cooling, add the following solutions (filter-sterilized):

\mono{8% NaHCO$_3$ solution}                                 {25.0}{ml}
\mono{Trace vitamins (see Medium No. [197])}                  {1.0}{ml}
\chu{Aseptically and anaerobically distribute the medium into culture vessels (e.g., 20 ml medium in 60 ml serum bottles) under a N$_2$-CO$_2$ (4:1, v/v) gas mixture and seal with butyl rubber stoppers.  Then, add per liter the following solution (autoclaved and stored under N$_2$):}

\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                      {8.0}{ml}
\chu{Readjust pH to 7.5, if necessary.}
     
"
1176,"METHANOSARCINA JL01 MEDIUM","\mono{KH$_2$PO$_4$}                                           {0.15}{g}
\mono{K$_2$HPO$_4$}                                           {0.29}{g}
\mono{NH$_4$Cl}                                               {1.0}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {0.2}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.1}{g}
\mono{NaCl}                                                   {0.9}{g}
\mono{FeCl$_2$ solution (see Medium No. [187])}               {1.0}{ml}
\mono{Trace element solution (see Medium No. [187])}          {1.0}{ml}
\mono{Yeast extract (Oxoid)}                                  {2.0}{g}
\mono{Resazurin}                                              {0.5}{mg}
\mono{NaHCO$_3$}                                              {2.0}{g}
\mono{Distilled water}                                        {1.0}{L}
\chu{Mix components except NaHCO$_3$ and bring to a boil for a few seconds.  After cooling down under a stream of N$_2$-CO$_2$ (80:20, v/v), add NaHCO$_3$ to the medium.   Dispense the medium into culture vessels (e.g., 20 ml of the medium in 120 ml serum bottles) under the same gas mixture, seal with butyl rubber stoppers and autoclave.  Allow to stand the medium until re-dissolved.  Then, add per liter the following solutions (autoclaved or *filter-sterilized):}
\mono{Trace vitamins* (see Medium No. [197])}                {10.0}{ml}
\mono{50% (v/v) Methanol}                                    {10.0}{ml}
\mono{5% L-Cysteine$\cdot$HCl$\cdot$H$_2$O solution}         {10.0}{ml}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                     {10.0}{ml}
\chu{Adjust pH of the medium to 6.8-7.0, if necessary.}
     
"
1167,"MMFC1 MEDIUM","\mono{KH$_2$PO$_4$}                                           {0.227}{g}
\mono{K$_2$HPO$_4$}                                           {0.348}{g}
\mono{NH$_4$Cl}                                               {0.5}{g}
\mono{NaCl}                                                   {2.25}{g}
\mono{MgSO$_4$$\cdot$7H$_2$O}                                 {0.5}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.025}{g}
\mono{Trace mineral solution (see below)}                     {1.0}{ml}
\mono{Yeast extract}                                          {2.0}{g}
\mono{Resazurin}                                              {0.5}{mg}
\mono{Distilled water}                                        {1.0}{L}
\chu{Prepare medium under a N$_2$ gas atmosphere.  After autoclaving, aseptically and anaerobically add per liter the following solutions (autoclaved or *filter-sterilized):}

\mono{Trace vitamins* (see Medium No. [197])}                {20.0}{ml}
\mono{50\% (v/v) Methanol solution}                           {8.0}{ml}
\mono{5\% L-Cysteine$\cdot$HCl$\cdot$H$_2$O solution}         {0.35}{ml}
\chu{Adjust final pH of the medium to 6.5, if necessary.

\chu{Trace mineral solution:}
\mono{Na$_2$-EDTA}                                           {22.59}{mg}
\mono{MgSO$_4$$\cdot$7H$_2$O}                               {246.0}{mg}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                {14.0}{mg}
\mono{H$_3$BO$_3$}                                            {3.5}{mg}
\mono{NaCl}                                                   {0.584}{mg}
\mono{FeSO$_4$$\cdot$7H$_2$O}                                 {1.5}{mg}
\mono{CoCl$_2$$\cdot$6H$_2$O}                                 {1.2}{mg}
\mono{NiCl$_2$$\cdot$6H$_2$O}                                 {1.19}{mg}
\mono{Na$_2$MoO$_4$$\cdot$2H$_2$O}                            {0.944}{mg}
\mono{Na$_2$SeO$_3$$\cdot$5H$_2$O}                            {0.395}{mg}
\mono{MnCl$_2$$\cdot$4H$_2$O}                                 {0.257}{mg}
\mono{ZnCl$_2$}                                               {0.136}{mg}
\mono{CuCl$_2$$\cdot$2H$_2$O}                                 {0.205}{mg}
\mono{Distilled water}                                        {1.0}{L}
     
"
1170,"A7 MEDIUM","\mono{K$_2$HPO$_4$}                                           {2.9}{g}
\mono{KH$_2$PO$_4$}                                           {1.5}{g}
\mono{Urea}                                                   {2.1}{g}
\mono{Yeast extract (BD-Difco)}                               {6.0}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.01}{g}
\mono{Na$_2$CO$_3$}                                           {4.0}{g}
\mono{L-Cysteine$\cdot$HCl$\cdot$H$_2$O}                      {0.5}{g}
\mono{Resazurin}                                              {1.0}{mg}
\mono{Cellobiose}                                            {10.0}{g}
\mono{Mineral solution (see below)}                           {0.2}{ml}
\mono{Distilled water}                                        {1.0}{L}
\chu{Adjust pH to 9.0.}

\chu{}
\chu{\sfi Mineral solution:} 

\mono{MgCl$_2$$\cdot$6H$_2$O}                                {25.0}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                {37.5}{g}
\mono{FeSO$_4$$\cdot$7H$_2$O}                                 {0.3}{g}
\mono{Distilled water}                                        {1.0}{L}
     
"
