grmd,md_name,tex_text
1465,"MODIFIED NMS MEDIUM-4","\mono{KNO$_3$}                                                {1.0}{g}
\mono{MgSO$_4$$\cdot$7H$_2$O}                                 {1.0}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.2}{g}
\mono{Fe(III)-EDTA}                                           {3.8}{mg}
\mono{Na$_2$MoO$_4$$\cdot$2H$_2$O}                            {0.26}{mg}
\mono{Na$_2$HPO$_4$$\cdot$12H$_2$O}                           {0.72}{g}
\mono{KH$_2$PO$_4$}                                           {0.26}{g}
\mono{Trace element solution (see below)}                     {1.0}{ml}
\mono{Distilled water}                                        {1.0}{L}
\chu{Mix components and autoclave. Aseptically distribute the medium into sterile serum bottles
(leave ≥ 80% gas phase by volume) and seal with rubber stoppers. Replace the gas phase
with an air-methane gas mixture (82:18, v/v).} 

\chu{Trace element solution:} 
\mono{CuSO$_4$$\cdot$5H$_2$O}                                 {0.2}{g}
\mono{FeSO$_4$$\cdot$7H$_2$O}                                 {0.5}{g}
\mono{ZnSO$_4$$\cdot$7H$_2$O}                                 {0.4}{g}
\mono{H$_3$BO$_2$}                                            {0.02}{g}
\mono{CoCl$_2$$\cdot$6H$_2$O}                                 {0.05}{g}
\mono{EDTA$\cdot$2Na}                                         {0.25}{g}
\mono{MnCl$_2$$\cdot$4H$_2$O}                                 {0.02}{g}
\mono{NiCl$_2$$\cdot$6H$_2$O}                                 {0.01}{g}
\mono{Distilled water}                                        {1.0}{L}
     
"
1446,"RCM BROTH","\mono{Bacto peptone (BD-Difco)} {10.0} {g}
\mono{Beef extract (BD-Difco)} {10.0} {g}
\mono{Yeast extract (BD-Difco)} {3.0} {g}
\mono{Glucosev {5.0} {g}
\mono{NaCl} {5.0} {g}
\mono{Soluble starch} {1.0} {g}
\mono{L-Cysteine$\cdot$HCl$\cdot$H$_2$O} {0.5} {g}
\mono{Sodium acetate} {3.0} {g}
\mono{Distilled water} {1.0}{L}

\chu{Adjust pH to 6.8.}
     
"
1449,"MODIFIED DIXON'S AGAR","\mono{Malt extract}{36}{g}\\mono{Peptone}{6}{g}\\mono{Desiccated ox bile}{20}{g}\\mono{Tween 40}{10}{mL}\\mono{Glycerol}{2}{mL}\\mono{Oleic acid}{2}{mL}\\mono{Agar}{12}{g}\\mono{Distilled water}{1000} {mL}\\chu{Adjust pH to 6.}
     
"
1453,"PECTIN MEDIUM","\mono{NaCl}                                                    {5.0}{g}
\mono{Yeast extract}                                           {3.0}{g}
\mono{Hipolypepton}                                            {3.0}{g}
\mono{Pectin (from citrus)}                                    {3.0}{g}
\mono{L-Cysteine·HCl$\cdot$H$_2$O}                            {0.5}{g}
\mono{0.1% Resazurin solution}                                 {1.0}{ml}
\mono{Distilled water}                                         {1.0}{L}
\\chu{Mix components thoroughly, adjust pH to 7.5, and autoclave under a N$_2$-CO$_2$ (1:1, v/v) gas mixture.}
     
"
1458,"ABBS1 MEDIUM","\mono{NaCl}                                                  {17.7}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {3.2}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.4}{g}
\mono{KCl}                                                    {0.7}{g}
\mono{Distilled water}                                      {930.0}{mL}
\chu{Mix components and autoclave. After cooling, aseptically and anaerobically add per liter the
following solutions (autoclaved or *filter-sterilized):}

\mono{1M NaHCO$_3$ solution*}                                {30.0}{ml}
\mono{100 mM NH$_4$Cl solution}                              {10.0}{ml}
\mono{100 mM Na$_2$HPO$_4$ solution}                         {10.0}{ml}
\mono{SL-7 trace element solution (see Medium No. [536])}     {1.0}{ml}
\mono{Vitamin solution* (see Medium No. [1298])}              {0.42}{ml}
\mono{300 mM Na$_2$S$_2$O$_3$ solution}                      {10.0}{ml}
\mono{500 mM MnO$_2$ solution}                               {10.0}{ml}
\chu{Adjust pH to 7.5 by bubbling with a N$_2$-CO$_2$ (4:1, v/v) gas mixture.}
     
"
1389,"IA91 MEDIUM","\mono{NH$_4$Cl}                                               {0.54}{g}
\mono{KH$_2$PO$_4$}                                           {0.14}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {3.0}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.15}{g}
\mono{NaCl}                                                  {20.0}{g}
\mono{FeCl$_2$ solution (see Medium No. [187])}               {1.0}{ml}
\mono{Trace element solution (see Medium No. [187])}          {1.0}{ml}
\mono{Selenite-tungstate solution (see Medium No. [431])}     {1.0}{ml}
\mono{NaHCO$_3$}                                              {2.5}{g}
\mono{Resazurin}                                              {1.0}{mg}
\mono{Distilled water}                                        {1.0}{L}
\chu{Mix components, except NaHCO$_3$, and adjust pH 7.0. Bring to a boil for 5-10 seconds,
then, cool down under a stream of N$_2$-CO$_2$ (80:20, v/v), add NaHCO$_3$, and autoclave
under the same gas mixture. After cooling. aseptically and anaerobically, add the
following solutions (autoclaved or *filter-sterilized, and stored under a N$_2$ atmosphere):}
\mono{Trace vitamins* (see Medium No. [197])}                 {2.0}{ml}
\mono{Culture supernatant (see below)}                      {400.0}{ml}
\chu{Distribute the medium into culture vessels (e.g., 10 ml in Hungate tubes) under the same
gas mixture and seal with butyl rubber stoppers. Finally, add per liter the following
solutions (autoclaved and stored under a N$_2$ atmosphere):}
\mono{5% L-Cysteine$\cdot$HCl$\cdot$H$_2$O solution}          {5.0}{ml}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                      {5.0}{ml}
\chu{\sfi Culture supernatant:}
\chu{Centrifuge a grown culture of strain Acc8 (=JCM 39386) in JCM Medium No. [1388] (e.g.,
10,000 xg, 10 min.), then, remove and autoclave the supernatant under a N$_2$-CO$_2$ (80:20,
v/v) gas mixture.}
     
"
1392,"ATRIBACTEROTA M15 MEDIUM","\mono{NaCl}                                                  {20.0}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {3.0}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.15}{g}
\mono{NH$_4$Cl}                                               {0.25}{g}
\mono{KH$_2$PO$_4$}                                           {0.2}{g}
\mono{Trace element solution (see Medium No. [439])}          {1.0}{ml}
\mono{Resazurin}{1.0} {mg}
\mono{Distilled water}                                      {950.0}{ml}
\chu{Mix components thoroughly and adjust pH 7.5. Bring to a boil and cool down under a
N$_2$-CO$_2$ (4:1, v/v) gas stream. Autoclave under the same gas mixture. After cooling,
add the following solutions (filter-sterilized):}

\mono{Selenite-tungstate solution (see Medium No. [431])}     {1.0}{ml}
\mono{8% NaHCO$_3$ solution}                                 {50.0}{ml}
\mono{Vitamin solution (see Medium No. [403])}                {1.0}{ml}
\mono{Thiamine solution (see Medium No. [403])}               {1.0}{ml}
\mono{Vitamin B$_12$ solution (see Medium No. [403])}         {1.0}{ml}
\chu{Aseptically and anaerobically distribute the medium into culture vessels (e.g., 10 ml
medium in Balch tubes) under the same gas mixture and seal with butyl rubber stoppers.
Add per liter the following solution (autoclave or *filter-sterilize and store under a N$_2$
atmosphere).}

\mono{10% Yeast extract solution}                            {20.0}{ml}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                     {10.0}{ml}
\chu{Readjust pH to 7.5-8.0, if necessary.}
     
"
1364,"WIDDEL FRESHWATER MEDIUM WITH FORMATE AND ACETATE","\mono{NaCl}                                                   {1.0}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {0.4}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.1}{g}
\mono{NH$_4$Cl}                                                  {0.25}{g}
\mono{KH$_2$PO$_4$}                                           {0.2}{g}
\mono{KCl}                                                    {0.5}{g}
\mono{Na$_2$SO$_4$}                                           {4.0}{g}
\mono{Resazurin}                                              {0.5}{mg}
\mono{Distilled water}                                      {980.0}{ml}
\chu{Mix components, adjust pH to 8 and autoclave under a N$_2$ gas atmosphere.   After cooling, add the following solutions from sterile anaerobic stocks (autoclaved or *filter-sterilized):}

\mono{Trace element solution (see Medium No. [439])}          {1.0}{ml}
\mono{Selenite-tungstate solution* (see Medium No. [431])}    {1.0}{ml}
\mono{Vitamin mixture solution* (see Medium No. [1363])}      {2.0}{ml}
\mono{1.0 M Sodium formate solution}                          {7.5}{ml}
\mono{1.0 M Sodium acetate solution}                          {9.0}{ml}
\chu{Readjust pH to 8, if necessary.  Separately autoclave and dry iron metal (grain).  Aseptically distribute the medium and iron metal into culture vessels (e.g., 10 ml medium and 100 mg iron in Hungate tubes) under a N$_2$ gas stream and seal with butyl rubber stoppers.  Prior to use, add per liter the following solution:}

\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                      {2.0}{ml}
     
"
1365,"ACIDIC LOW SALT MINERAL MEDIUM","\mono{MgSO$_4$$\cdot$7H$_2$O}                                  {98.6}{mg}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {14.7}{mg}
\mono{K$_2$SO$_4$}                                            {34.9}{mg}
\mono{(NH$_4$)$_2$SO$_4$}                                      {0.264}{g}
\mono{FeCl$_2$ solution (see Medium No. [187])}                {1.0}{ml}
\mono{Trace element solution (see Medium No. [187])}           {1.0}{ml}
\mono{Selenite-tungustate solution (see below)}                {1.0}{ml}
\mono{Distilled water}                                         {1.0}{L}
\chu{Mix components thoroughly.  For preparation of solid medium, add 15.0 g/L agarose.  Autoclave and, after cooling to 60C, add the following solutions (autoclaved or *filter-sterilized):}


\mono{0.1 M KH$_2$PO$_4$ solution}                             {1.0}{ml}
\mono{Trace vitamins* (see Medium No. [197])}                 {10.0}{ml}
\mono{Vitamin B$_12$ solution* (see Medium No. [403])}         {4.0}{ml}
\mono{1.0 mM CeCl$_3$ solution*}                               {1.0}{ml}
\mono{1.0 N H$_2$SO$_4$ solution*}                             {4.0}{ml}
\chu{Check pH to be 2.0 to 3.0.  Cultivate with methane or methanol as a substrate as described below:}

\chu{Methane. Aseptically distribute the medium into sterile serum bottles (leave ≥ 80% gas phase by volume) and seal with rubber stoppers. Add sterile CO$_2$ and methane (respectively 2-10% and 5-20% by volume) in the gas phase.  Cultivate with shaking.}

\chu{Methanol:  Aseptically distribute the medium into culture vessels (e.g., 10 ml in 60 ml serum bottles), supplement with 0.4-1.0 ml per liter methanol (filter-sterilized) and seal with rubber stoppers.  Add sterile CO$_2$ (2-10% by volume) in the gas phase.}


\chu{{\sfi Selenite-tungstate solution:}
\mono{NaOH}                                                    {0.4}{g}
\mono{Na$_2$SeO$_3$$\cdot$5H$_2$O}                             {0.06}{g}
\mono{Na2WO$_4$$\cdot$2H$_2$O}                                 {0.08}{g}
\mono{Distilled water}                                         {1.0}{L}
     
"
1366,"GBS SALTS MEDIUM FOR HYDROGENOBACTER","\mono{NaCl} {3.0} {g}

\mono{KCl} {0.15} {g}

\mono{Na$_2$SO$_4$} {0.3} {g}

\mono{MgSO$_4$$\cdot$7H$_2$O} {0.123} {g}

\mono{CaCl$_2$$\cdot$2H$_2$O} {14.5} {mg}

\mono{NH$_4$Cl} {0.107} {g}

\mono{Mineral solution A (see Medium No. [1353])} {5.0} {ml}

\mono{Distilled water} {1.0} {L}

\chu{Mix components thoroughly and distribute the medium into culture vessels (e.g., 5.0 ml in 25 ml serum bottles/Balch tubes) under a stream of N$_2$, seal with butyl rubber stoppers and autoclave.  After cooling, aseptically add per liter the following solutions (autoclaved or *filter-sterilized and stored anaerobically):}

\mono{8% NaHCO$_3$ solution*} {12.5} {ml}

\mono{1.0 M Na$_2$S$_2$O$_3$ solution} {2.5} {ml}

\mono{0.5 M Na$_2$HPO$_4$ solution (pH 8.0)} {20.0} {ml}

\chu{After inoculation, add air to the gas phase (30-40% by volume) and pressurize to 100 KPa with H$_2$-CO$_2$ (4:1, v/v) gas mixture.}
     
"
